24,266,22,219
22,210,24,218
26,288,26,232
29,316,30,246
20,199,24,222
35,268,28,275
24,269,23,227
25,262,28,257
24,266,26,236
22,247,22,237
16,142,19,187
23,253,26,228
18,177,21,204
25,263,30,260
28,292,27,249
31,322,29,272
30,326,32,289
21,190,22,222
30,309,32,286
15,137,15,155
26,281,30,250
22,221,19,197
27,292,30,273
25,264,25,227
27,271,29,261
24,273,24,249
20,184,17,184
23,245,21,200
22,202,21,193
22,223,23,220
21,235,20,211
22,220,23,226
30,329,34,291
23,216,23,228
29,311,31,282
27,315,29,259
27,325,25,241
22,219,21,208
29,312,33,276
27,244,26,241
25,262,24,226
31,346,27,259
9,85,8,81
23,247,19,202
14,133,15,140
25,259,28,249
26,274,23,237
29,296,33,272
27,304,29,261
29,305,31,273
29,336,31,279
27,325,25,239
21,212,28,237
28,276,30,265
23,241,23,211
17,192,16,174
17,152,21,193
32,392,35,286
24,246,27,259
25,279,19,204
22,245,29,251
19,208,20,193
18,207,21,207
19,154,26,248
25,244,29,249
28,334,28,264
19,186,20,197
25,276,25,227
19,243,24,197
23,257,23,227
21,276,33,278
34,335,21,215
22,202,24,237
13,128,13,151
34,362,30,269
32,311,31,293
22,256,24,221
18,140,16,170
28,269,28,259
28,307,30,276
17,173,16,168
18,184,17,186
23,242,21,221
31,304,32,285
22,206,27,235
25,267,31,261
22,249,22,202
14,101,15,155
